frame_index,time_sec,point_count,imu_status,imu_status_label,mapping_confidence
279,27.901035635000003,20064,0,stable,high
280,28.000737721,19968,0,stable,high
281,28.100800406,19872,0,stable,high
282,28.201039361000003,20160,0,stable,high
283,28.300883625,19968,0,stable,high
284,28.401222164000004,20160,0,stable,high
285,28.501091211,19968,0,stable,high
286,28.601090817000003,19968,0,stable,high
287,28.701034549000003,19968,0,stable,high
288,28.801311518,20160,0,stable,high
289,28.9008369,19776,0,stable,high
290,29.000836548,19968,0,stable,high
291,29.100402897,19968,0,stable,high
292,29.201965001,20256,0,stable,high
293,29.301220572,19968,0,stable,high
294,29.401273076000003,19968,0,stable,high
295,29.500933626,19872,0,stable,high
296,29.601150325000003,20064,0,stable,high
297,29.70144806,19872,0,stable,high
298,29.801282467000004,20064,0,stable,high
299,29.900976141,19968,0,stable,high
300,30.000877346000003,20064,0,stable,high
301,30.100766152,19872,0,stable,high
302,30.201125224,20160,0,stable,high
303,30.301260506,19968,0,stable,high
304,30.400908438,19872,0,stable,high
305,30.500989309,20160,0,stable,high
306,30.601004749,19968,0,stable,high
307,30.701115128,19968,0,stable,high
308,30.801704749,20064,0,stable,high
309,30.90098324,19968,0,stable,high
310,31.000997793000003,19968,0,stable,high
311,31.100949562,19968,0,stable,high
312,31.200987373,20064,0,stable,high
313,31.300979867,19872,0,stable,high
314,31.401113999000003,20064,0,stable,high
315,31.501031697,20064,0,stable,high
316,31.601075791000003,19968,0,stable,high
317,31.701257436,20064,0,stable,high
318,31.801161028000003,19872,0,stable,high
319,31.901065206,19968,0,stable,high
320,32.001713511000005,20064,0,stable,high
321,32.100636641,19968,0,stable,high
322,32.201641458000005,20256,0,stable,high
323,32.300975220000005,19680,0,stable,high
324,32.400902133,20160,0,stable,high
325,32.500970727,19872,0,stable,high
326,32.601254613,20256,0,stable,high
327,32.701042677000004,19968,0,stable,high
328,32.800966176,19776,0,stable,high
329,32.901116234,20160,0,stable,high
330,33.000894805,19872,0,stable,high
331,33.101519867,19968,0,stable,high
332,33.201107336,20160,0,stable,high
333,33.301105814,19968,0,stable,high
334,33.401117488000004,20064,0,stable,high
335,33.501161862000004,19872,0,stable,high
336,33.601212003,19968,0,stable,high
337,33.700944602,20064,0,stable,high
338,33.80116459,19968,0,stable,high
339,33.901184267000005,19968,0,stable,high
340,34.000879439,20064,0,stable,high
341,34.100924337,19968,0,stable,high
342,34.201144096,19968,0,stable,high
343,34.301064226,20064,0,stable,high
344,34.401202409,19968,0,stable,high
345,34.501144005,19968,0,stable,high
346,34.601217379000005,19968,0,stable,high
347,34.701132591000004,20064,0,stable,high
348,34.801148254000005,19968,0,stable,high
349,34.901252982,19968,0,stable,high
350,35.001225521,20064,0,stable,high
351,35.100851511,19968,0,stable,high
352,35.201961274000006,20064,0,stable,high
353,35.301036257,19968,0,stable,high
354,35.401202989000005,20064,0,stable,high
355,35.501143135,19968,0,stable,high
356,35.601000607,19968,0,stable,high
357,35.70105197,19968,0,stable,high
358,35.801733545000005,19968,0,stable,high
359,35.900981596,20064,0,stable,high
360,36.00136907,20064,0,stable,high
361,36.100948084,19872,0,stable,high
362,36.201089768,19968,0,stable,high
363,36.300897232,20064,0,stable,high
364,36.401138211,20064,0,stable,high
365,36.500955440000006,19968,0,stable,high
366,36.601143353000005,20064,0,stable,high
367,36.701241864,19968,0,stable,high
368,36.80137812,19968,0,stable,high
369,36.901170257,20064,0,stable,high
370,37.001167028000005,19872,0,stable,high
371,37.101120201,19968,0,stable,high
372,37.201002067000005,20064,0,stable,high
373,37.301282784,20064,0,stable,high
374,37.401259742,19872,0,stable,high
375,37.501263414,20064,0,stable,high
376,37.601112223,20064,0,stable,high
377,37.701208662,19872,0,stable,high
378,37.801343058,19968,0,stable,high
379,37.901401708,20160,0,stable,high
380,38.001228237,19872,0,stable,high
381,38.101047713,20064,0,stable,high
382,38.201066399000005,19968,0,stable,high
383,38.301341547,20064,0,stable,high
384,38.402062073,20064,0,stable,high
385,38.501120112,19872,0,stable,high
386,38.601369522000006,20160,0,stable,high
387,38.701161214,19872,0,stable,high
388,38.801204689,19968,0,stable,high
389,38.901380328,19968,0,stable,high
390,39.001480664,20064,0,stable,high
391,39.101424231,19968,0,stable,high
392,39.201235685,20064,0,stable,high
393,39.301202747000005,19968,0,stable,high
394,39.401822851000006,20064,0,stable,high
395,39.501126453000005,19968,0,stable,high
396,39.601286361,20064,0,stable,high
397,39.701946696,19968,0,stable,high
398,39.801284182,19872,0,stable,high
399,39.901292669,20160,0,stable,high
400,40.001134854,19872,0,stable,high
401,40.101023388,19968,0,stable,high
402,40.20179678,20160,0,stable,high
403,40.301225146,19872,0,stable,high
404,40.401555199,20064,0,stable,high
405,40.501209829,19968,0,stable,high
406,40.601158728,19968,0,stable,high
407,40.701070130000005,19968,0,stable,high
408,40.801212094,20064,0,stable,high
409,40.901200009,19968,0,stable,high
410,41.001430571,20064,0,stable,high
411,41.101254544,19968,0,stable,high
412,41.201199663,19968,0,stable,high
413,41.301246539000005,20064,0,stable,high
414,41.401289361,19968,0,stable,high
415,41.501152739000005,19968,0,stable,high
416,41.601271375,19968,0,stable,high
417,41.701179033,20064,0,stable,high
418,41.801217781000005,19968,0,stable,high
419,41.901249551,19968,0,stable,high
420,42.001287769,20064,0,stable,high
421,42.100912597,19968,0,stable,high
422,42.201199971,19968,0,stable,high
423,42.30126547,20160,0,stable,high
424,42.401117759,19872,0,stable,high
425,42.501192254,19968,0,stable,high
426,42.601181245,20064,0,stable,high
427,42.701306323,19968,0,stable,high
428,42.801297636,19968,0,stable,high
429,42.901087472,20064,0,stable,high
430,43.001345414,20064,0,stable,high
431,43.101084240000006,19968,0,stable,high
432,43.201286065000005,19968,0,stable,high
433,43.301156195,19968,0,stable,high
434,43.401240656000006,20064,0,stable,high
435,43.501156747,19968,0,stable,high
436,43.601305806,20064,0,stable,high
437,43.701168816000006,19968,0,stable,high
438,43.801290165000005,19968,0,stable,high
439,43.901239614000005,19968,0,stable,high
440,44.00148345,20064,0,stable,high
441,44.101180705,19872,0,stable,high
442,44.201282777,20064,0,stable,high
443,44.30113157,20064,0,stable,high
444,44.40210623,19968,0,stable,high
445,44.501526456,19968,0,stable,high
446,44.600827967,20064,0,stable,high
447,44.70092934,19968,0,stable,high
448,44.801459480000005,19968,0,stable,high
449,44.901498291,20064,0,stable,high
450,45.001320959000005,19968,0,stable,high
451,45.101327366,19968,0,stable,high
452,45.201348038000006,20064,0,stable,high
453,45.301442699000006,19968,0,stable,high
454,45.401796159,20064,0,stable,high
455,45.501922240000006,19968,0,stable,high
456,45.601495178,19968,0,stable,high
457,45.701471801,19968,0,stable,high
458,45.801838387,20064,0,stable,high
459,45.901755087000005,19872,0,stable,high
460,46.001207389,20064,0,stable,high
461,46.10143612,20064,0,stable,high
462,46.201352811,19968,0,stable,high
463,46.301544958,20064,0,stable,high
464,46.40162068,20064,0,stable,high
465,46.501603210000006,19776,0,stable,high
466,46.600914375,20064,0,stable,high
467,46.701387514,19968,0,stable,high
468,46.801198168000006,19968,0,stable,high
469,46.902335609000005,20064,0,stable,high
470,47.001429067,19968,0,stable,high
471,47.101306931,19968,0,stable,high
472,47.201455174,20064,0,stable,high
473,47.301740996,20064,0,stable,high
474,47.401673925,20064,0,stable,high
475,47.500810458,19872,0,stable,high
476,47.601433331,19968,0,stable,high
477,47.701072541,19968,0,stable,high
478,47.801326537,20064,0,stable,high
479,47.901265596,19968,0,stable,high
480,48.001277045,20064,0,stable,high
481,48.101444281000006,19968,0,stable,high
482,48.20149232,19968,0,stable,high
483,48.301550879,20064,0,stable,high
484,48.401749757000005,20064,0,stable,high
485,48.50146621,19872,0,stable,high
486,48.601703678,20160,0,stable,high
487,48.701525012000005,19872,0,stable,high
488,48.801533178,19968,0,stable,high
489,48.901561226000005,20160,0,stable,high
490,49.00171684,19872,0,stable,high
491,49.101399552,19968,0,stable,high
492,49.201648658,20064,0,stable,high
493,49.301629512000005,19968,0,stable,high
494,49.401567153,20064,0,stable,high
495,49.501404605000005,19968,0,stable,high
496,49.601675258,19968,0,stable,high
497,49.701682425,20064,0,stable,high
498,49.801736416,19968,0,stable,high
499,49.901154083,19968,0,stable,high
